LEO,eta,10.122222,16.7667,3.53,,34.5689,-64.5609,,-50.3979,94.1232
LEO,theta,11.237500,15.4333,3.34,,14.7865,-73.0859,,-20.9073,103.3396
LEO,delta,11.235000,20.5167,2.56,,13.8230,-68.0945,,-21.9862,108.3076
LEO,,,,,,,,,,
LEO,epsilon,9.764167,23.7667,2.97,,36.5928,-55.2071,,-62.8541,94.8273
LEO,mu,9.879444,26.0167,3.89,,33.7243,-54.3741,,-61.1500,98.5928
LEO,,,,,,,,,,
LEO,omicron,9.685833,9.9000,3.48,,45.6137,-65.8438,,-56.8889,82.1198
LEO,eta,10.122222,16.7667,3.53,,34.5689,-64.5609,,-50.3979,94.1232
LEO,alpha,10.139444,11.9667,1.35,,36.5242,-68.9579,,-47.7263,90.1077
LEO,31,10.131667,10.0000,4.37,,37.5885,-70.6194,,-46.9857,88.2743
LEO,,,,,,,,,,
LEO,rho,10.546944,9.3000,3.85,,29.9639,-74.9310,,-36.8701,92.2013
LEO,theta,11.237500,15.4333,3.34,,14.7865,-73.0859,,-20.9073,103.3396
LEO,iota,11.398889,10.5333,3.95,,12.4542,-78.4847,,-15.7558,99.2910
LEO,sigma,11.352222,6.0333,4.03,,14.1716,-82.7621,,-16.2081,94.6557
LEO,,,,,,,,,,
LMI,beta,10.464722,36.7000,4.20,,20.8509,-49.0523,,-49.5650,116.6027
LMI,46,10.888333,34.2167,3.81,,16.0066,-53.4375,,-35.6430,118.9931
LMI,21,10.123889,35.2500,4.48,,25.8230,-48.2777,,-59.0746,110.4435
LMI,beta,10.464722,36.7000,4.20,,20.8509,-49.0523,,-49.5650,116.6027
LMI,,,,,,,,,,
LYN,alpha,9.350833,34.4000,3.14,,35.5435,-42.7554,,-79.5253,95.6613
LYN,38,9.313889,36.8167,3.81,,34.3925,-40.5662,,-82.0097,96.7310
LYN,31,8.380556,43.2000,4.25,,38.0015,-27.3153,,-108.1582,77.7434
LYN,21,7.445278,49.2167,4.55,,37.8986,-15.0657,,-129.3694,51.4279
LYN,15,6.954444,58.4167,4.35,,30.6025,-7.8100,,-143.8074,36.7006
LYN,2,6.326944,59.0167,4.45,,30.8699,-2.6487,,-148.4711,12.7393
LYN,,,,,,,,,,
VIR,nu,11.764167,6.5167,4.03,,5.1511,-83.3243,,-5.9553,96.3328
VIR,beta,11.845000,1.7667,3.61,,3.5794,-88.1607,,-3.7228,91.6911
VIR,eta,12.331667,-0.6667,3.88,,-7.8049,-89.6609,,7.8049,89.6609
VIR,gamma,12.694444,-1.4500,3.68,,-16.5346,-89.9428,,16.0103,87.0906
VIR,delta,12.926667,3.3833,3.37,,-20.8078,-84.0802,,22.4333,90.6487
VIR,epsilon,13.036389,10.9667,2.83,,-21.1817,-76.1420,,27.0600,97.2729
VIR,,,,,,,,,,
VIR,gamma,12.694444,-1.4500,3.68,,-16.5346,-89.9428,,16.0103,87.0906
VIR,theta,13.165833,-5.5333,4.37,,-28.7075,-91.1180,,25.3820,80.5628
VIR,alpha,13.419722,-11.1500,0.97,,-36.7360,-94.2432,,28.6370,73.4659
VIR,iota,14.266944,-6.0000,4.08,,-53.6883,-79.5837,,46.9773,69.6357
VIR,mu,14.717500,-5.6500,3.88,,-62.4523,-72.4475,,55.0742,63.8886
VIR,,,,,,,,,,
VIR,theta,13.165833,-5.5333,4.37,,-28.7075,-91.1180,,25.3820,80.5628
VIR,zeta,13.578333,-0.6000,3.36,,-36.1393,-82.4254,,36.1393,82.4254
VIR,tau,14.027222,1.5500,4.26,,-44.7698,-76.2828,,46.3389,78.9564
VIR,109,14.770833,1.9000,3.73,,-58.4488,-65.9193,,60.9698,68.7626
VIR,,,,,,,,,,
VEL,mu,10.779444,-49.4333,2.68,,43.8003,-132.3752,,-12.7432,38.5132
VEL,psi,9.511667,-40.4667,3.58,,79.1066,-103.7483,,-30.0338,39.3894
VEL,lambda,9.133333,-43.4333,2.24,,91.0013,-97.5870,,-31.7584,34.0567
VEL,gamma,8.158889,-47.3500,1.83,,115.9898,-73.5621,,-36.0172,22.8425
VEL,delta,8.745278,-54.7167,1.95,,108.9216,-95.2837,,-26.5562,23.2311
VEL,kappa,9.368611,-55.0167,2.49,,92.1850,-111.9454,,-22.2384,27.0053
VEL,phi,9.947778,-54.5833,3.54,,73.9967,-124.2128,,-18.1260,30.4268
VEL,mu,10.779444,-49.4333,2.68,,43.8003,-132.3752,,-12.7432,38.5132
VEL,,,,,,,,,,
CEN,alpha,14.660000,-60.8333,0.33,,-96.7520,-115.7141,,18.7089,22.3757
CEN,beta,14.063889,-60.3667,0.61,,-77.3508,-128.9457,,15.2438,25.4118
CEN,epsilon,13.664722,-53.4667,2.30,,-60.5654,-130.0558,,15.4228,33.1183
CEN,zeta,13.925556,-47.3000,2.54,,-66.3197,-120.2206,,20.6253,37.3883
CEN,upsilon^1,13.978056,-44.8000,3.86,,-66.7282,-117.1255,,22.3747,39.2735
CEN,mu,13.826944,-42.4833,3.47,,-60.9774,-117.6163,,21.8702,42.1844
CEN,nu,13.825000,-41.6833,3.41,,-60.5496,-116.9369,,22.2166,42.9060
CEN,theta,14.111389,-36.3833,2.07,,-66.3561,-107.5621,,28.1508,45.6320
CEN,,,,,,,,,,
CEN,kappa,14.985833,-42.1000,3.13,,-93.0617,-93.7546,,33.7446,33.9958
CEN,eta,14.591667,-42.1500,2.32,,-82.9404,-102.8810,,30.0318,37.2520
CEN,mu,13.826944,-42.4833,3.47,,-60.9774,-117.6163,,21.8702,42.1844
CEN,iota,13.343056,-36.7167,2.75,,-43.6426,-118.9640,,18.3514,50.0234
CEN,,,,,,,,,,
CEN,zeta,13.925556,-47.3000,2.54,,-66.3197,-120.2206,,20.6253,37.3883
CEN,gamma,12.691944,-48.9667,2.16,,-25.0364,-136.6928,,7.3926,40.3619
CEN,sigma,12.467500,-50.2333,3.92,,-17.1205,-139.1843,,4.8549,39.4692
CEN,delta,12.139167,-50.7167,2.58,,-5.1257,-140.6233,,1.4309,39.2573
CEN,pi,11.350278,-54.5000,3.88,,24.4606,-142.4146,,-6.0094,34.9877
CEN,lambda,11.596389,-63.0167,3.13,,16.1385,-152.1632,,-2.8459,26.8328
CEN,,,,,,,,,,
CRT,theta,11.611389,-9.8000,4.75,,10.1360,-99.2839,,-8.1453,79.7853
CRT,epsilon,11.410278,-10.8667,4.81,,15.5109,-99.6669,,-12.1688,78.1921
CRT,delta,11.322222,-14.7667,3.56,,18.4926,-103.1217,,-13.2796,74.0521
CRT,alpha,10.996111,-18.3000,4.07,,28.1366,-104.5812,,-18.6278,69.2380
CRT,beta,11.194167,-22.8333,4.47,,23.6279,-110.3317,,-14.0651,65.6775
CRT,gamma,11.414722,-17.6833,4.06,,16.4353,-106.4217,,-11.0374,71.4694
CRT,zeta,11.746111,-18.3500,4.72,,7.1965,-108.1107,,-4.7589,71.4918
CRT,eta,11.933611,-17.1500,5.17,,1.8622,-107.1338,,-1.2661,72.8390
CRT,,,,,,,,,,
CRT,gamma,11.414722,-17.6833,4.06,,16.4353,-106.4217,,-11.0374,71.4694
CRT,delta,11.322222,-14.7667,3.56,,18.4926,-103.1217,,-13.2796,74.0521
ANT,,,,,,,,,,
ANT,iota,10.945278,-37.1333,4.59,,34.6604,-122.3174,,-14.4130,50.8640
ANT,alpha,10.452778,-31.0833,4.24,,47.7160,-111.2850,,-23.2176,54.1490
ANT,theta,9.736667,-27.7667,4.78,,65.7691,-97.6904,,-34.7554,51.6241
ANT,epsilon,9.487500,-35.9500,4.50,,77.0001,-99.6714,,-33.0437,42.7728
ANT,alpha,10.452778,-31.0833,4.24,,47.7160,-111.2850,,-23.2176,54.1490
ANT,,,,,,,,,,
HYA,pi,14.106389,-26.6833,3.26,,-61.1332,-99.3868,,33.1731,53.9309
HYA,gamma,13.315278,-23.1833,2.98,,-38.2078,-106.5393,,22.5556,62.8944
HYA,beta,11.881667,-33.9000,4.28,,3.8378,-123.8405,,-1.7377,56.0731
HYA,xi,11.550000,-31.8500,3.54,,14.3219,-121.0054,,-6.8348,57.7469
HYA,nu,10.826944,-16.1833,3.11,,32.0993,-101.2153,,-22.3148,70.3630
HYA,mu,10.434722,-16.8500,3.81,,42.5707,-98.0034,,-29.1441,67.0935
HYA,lambda,10.176389,-12.3667,3.61,,47.0364,-90.9204,,-35.6717,68.9526
HYA,upsilon^1,9.858056,-14.8500,4.10,,55.7623,-88.7924,,-39.9670,63.6409
